height,weight,wingspan,points_scored,rebounds,assists,plusminus,fgpct,pheight,pweight,pwingspan,pos
195.36666666666667,92.58999999999999,204.47000000000003,0.0,0.21937842782803993,0.2742230347850499,9,0.0,202.56,94.89,208.92,SF
192.375,93.77499999999999,201.76999999999998,0.28846153848675365,0.15734265735641106,0.13111888113034256,8,0.364,196.22,101.06,212.72,SG
191.38799999999998,93.05799999999999,201.42200000000003,0.2587446095120982,0.1149976042275992,0.0574988021137996,3,0.4,191.14,90.26,200.66,PG
191.38799999999998,93.05799999999999,201.42200000000003,0.37578288104131347,0.18789144052065673,0.06263048017355224,7,0.667,191.14,86.09,201.93,PG
200.28,105.155,210.82,0.31007751937984496,0.2713178294573643,0.07751937984496124,-7,0.75,203.2,111.58,215.26,PF
196.65999999999997,99.5925,206.85,0.0,0.14527845032801975,0.0,5,0.0,200.02,98.61,206.38,SF
199.81333333333336,103.75,211.45333333333335,0.6605504587761972,0.08256880734702465,0.0550458715646831,6,0.4,198.0,97.05,208.28,SF
201.61,105.095,210.82,0.4115629592933304,0.32337089658761675,0.2057814796466652,-13,0.227,202.56,113.26,213.36,PF
192.83333333333334,92.47000000000001,205.10333333333335,0.4603580563130801,0.09207161126261601,0.18414322252523202,-9,0.286,185.42,89.99,193.04,PG
192.83333333333334,92.47000000000001,205.10333333333335,0.4714285714959184,0.04285714286326531,0.0,-1,0.571,193.04,92.99,203.2,SG
192.83333333333334,92.47000000000001,205.10333333333335,0.3111111111111111,0.26666666666666666,0.0,-1,0.5,193.04,92.35,204.47,SG
192.83333333333334,92.47000000000001,205.10333333333335,0.8571428571428571,0.21428571428571427,0.14285714285714285,-3,0.636,187.96,84.28,203.84,SG
192.83333333333334,92.47000000000001,205.10333333333335,0.0,0.1945945945525201,0.12972972970168006,5,0.0,191.77,90.99,198.12,SG
197.48666666666668,94.31666666666666,210.1866666666667,1.005361930160139,0.08042895441281113,0.0,-10,0.5,203.2,100.97,214.0,SF
207.01,105.055,221.3,0.2850356294536817,0.2375296912114014,0.0,-23,1.0,206.38,107.77,219.71,PF
192.82666666666668,92.46999999999998,205.95333333333335,0.6839772006733404,0.07599746674148228,0.18999366685370567,-12,0.389,191.77,86.55,200.02,SG
192.82666666666668,92.46999999999998,205.95333333333335,0.5647058824193771,0.10588235295363323,0.21176470590726645,-17,0.583,184.15,83.73,195.58,PG
192.82666666666668,92.46999999999998,205.95333333333335,0.31599736664700495,0.2369980249852537,0.2369980249852537,-15,0.375,193.68,82.28,201.93,PG
197.48666666666668,94.31666666666666,210.1866666666667,0.4498977505112475,0.20449897750511248,0.0408997955010225,-8,0.364,198.12,101.51,200.66,SF
192.82666666666668,92.46999999999998,205.95333333333335,0.12968299713684192,0.17291066284912257,0.12968299713684192,-13,0.333,203.2,88.44,218.44,SG
193.04,90.41666666666667,203.20000000000002,0.6967741936382935,0.15483870969739855,0.19354838712174818,14,0.4,194.31,92.8,205.74,SG
206.38,107.77,219.71,0.4714285714959184,0.34285714290612246,0.04285714286326531,14,0.625,207.64,108.23,223.52,C
193.04,90.41666666666667,203.20000000000002,0.8823529411764706,0.11029411764705882,0.03676470588235294,15,0.727,191.77,88.27,205.74,SG
202.5666666666667,103.41666666666667,211.45666666666668,0.9689440991381506,0.5962732917773235,0.0,6,0.833,206.38,101.88,219.08,PF
193.04,90.41666666666667,203.20000000000002,0.5577689243027888,0.0796812749003984,0.199203187250996,15,0.556,192.4,96.34,206.38,SG
189.86666666666667,84.18666666666667,199.17666666666665,0.5555555555555555,0.18518518518518517,0.4629629629629629,12,0.667,190.5,88.72,197.48,PG
200.0233333333333,97.12666666666667,211.45333333333335,0.2903225806451613,0.12903225806451613,0.03225806451612903,-13,0.444,203.2,102.0,218.44,SF
188.595,85.63499999999999,204.47,0.6385932438094777,0.027764923643890337,0.24988431279501302,-11,0.211,184.15,80.65,190.5,PG
204.25666666666666,103.39,217.38,0.7142857142857143,0.2380952380952381,0.06802721088435375,8,0.692,202.56,95.07,214.0,PF
202.88,98.535,216.22,0.30000000003,0.240000000024,0.210000000021,15,0.5,200.02,95.71,202.56,SF
202.88,98.535,216.22,0.7861635220125786,0.15723270440251572,0.06289308176100629,5,0.667,199.39,104.51,219.71,PF
202.56,95.07,214.0,0.43454038992372807,0.5013927576043016,0.033426183840286776,19,0.833,213.36,109.95,229.87,C
184.15,80.65,190.5,0.6986899563318777,0.14556040756914118,0.17467248908296942,14,0.438,184.15,86.27,203.84,PG
202.88,98.535,216.22,0.52809749485063,0.12186865265783768,0.08124576843855846,-13,0.556,200.66,91.16,212.09,SF
202.88,98.535,216.22,0.24855012423387735,0.09942004969355094,0.04971002484677547,2,0.286,204.47,92.08,221.62,PF
202.56,95.07,214.0,0.38781163434903043,0.22160664819944598,0.055401662049861494,-14,1.0,209.55,109.59,219.08,C
184.15,80.65,190.5,0.24514811026656833,0.18386108269992624,0.24514811026656833,-5,0.4,193.04,85.0,205.1,PG
194.94666666666663,94.13333333333333,213.99333333333334,0.08836524301743229,0.17673048603486458,0.08836524301743229,-17,0.2,193.68,92.44,207.01,SG
206.59,105.77666666666669,219.07333333333335,0.46875,0.40625,0.03125,-11,0.5,214.63,107.77,234.95,C
185.42,74.75,202.56,0.3604587656624294,0.13107591478633798,0.09830693608975348,-6,0.444,180.34,79.38,197.48,PG
201.08666666666667,103.47666666666665,220.3466666666667,0.23089609673107245,0.29686641008280745,0.16492578337933747,15,0.333,201.93,104.37,220.34,SF
194.94666666666663,94.13333333333333,213.99333333333334,0.18808777426519002,0.1410658306988925,0.18808777426519002,3,0.2,194.31,93.98,215.26,SG
