player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Carl Krauser,PG,182.24,184.78,86.18,198.76,2006
Brandin Knight,PG,182.24,184.78,86.18,198.12,2003
Rashad Wright,PG,184.15,187.32,86.18,208.28,2004
Derrick Zimmerman,PG,185.42,187.96,86.18,205.74,2003
James Bouknight,SG,191.77,194.94,86.18,203.84,2021
JJ Redick,SG,193.04,194.94,86.18,191.14,2006
Aaron Wiggins,SG/SF,194.31,195.58,86.18,207.64,2021
Darius Morris,PG/SG,191.14,196.22,86.18,201.93,2011
Keith Brumbaugh,SF/PF,201.93,205.1,86.18,201.3,2008
Terry Rozier,PG/SG,184.15,188.6,86.27,203.84,2015
Nigel Williams-Goss,PG,186.69,190.5,86.27,201.3,2017
Jerel McNeal,SG,186.69,190.5,86.36,201.3,2009
Reece Beekman,PG,186.69,189.23,86.45,200.66,2023
Amari Bailey,SG,191.14,193.68,86.55,200.66,2023
Jamaal Franklin,SG/SF,193.04,196.22,86.55,211.46,2013
Jordan Poole,SG,191.77,196.85,86.55,200.02,2019
Antonio Burks,PG,182.88,184.78,86.64,199.39,2004
Trevon Duval,PG,186.69,189.23,86.64,203.84,2018
Zabian Dowdell,PG,185.42,190.5,86.64,208.28,2007
Immanuel McElroy,SG,188.6,191.14,86.64,199.39,2002
Kyrie Irving,PG,187.32,191.77,86.64,193.04,2011
Caris LeVert,SG,197.48,200.66,86.64,208.28,2016
Ray McCallum,PG,183.52,187.32,86.82,191.14,2013
E'Twaun Moore,SG,189.23,193.04,86.82,207.01,2011
Coby White,PG,191.77,194.94,86.82,195.58,2019
Eric Bledsoe,PG,183.52,186.69,86.91,201.93,2010
Aaron Craft,PG,184.78,187.32,86.91,187.96,2014
Andy Rautins,SG,193.68,195.58,86.91,200.66,2010
Jordan Miller,SF,194.31,196.85,86.91,212.72,2023
Jalen McDaniels,SF,203.84,207.64,86.91,214,2019
Corey Hawkins,SG/PG,184.78,187.32,87,203.2,2015
Adam Flagler,PG,185.42,187.96,87,194.31,2023
JD Davison,PG,184.15,189.23,87,199.39,2022
Melo Trimble,PG,186.06,189.23,87,187.96,2016
Austin Daye,SF/PF,207.64,210.18,87,220.34,2009
Scoot Henderson,PG,190.5,193,91.61,205.74,2023
