500,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22,22300076,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,11.75,2,5,0.4,0,3,0,0,0,0,0,1,1,0,0,0,1,2,4,-12
23,22300076,1610612747,LAL,Los Angeles,1626174,Christian Wood,Christian,21.4,2,7,0.286,0,2,0,3,4,0.75,2,8,10,1,0,0,1,2,7,23
0,22300084,1610612751,BKN,Brooklyn,1630560,Cam Thomas,Cam,33.16666667,12,19,0.632,1,4,0.25,5,5,1,0,7,7,2,1,1,0,2,30,3
1,22300084,1610612751,BKN,Brooklyn,1628969,Mikal Bridges,Mikal,35.46666667,6,17,0.353,3,7,0.429,3,3,1,1,3,4,3,0,0,1,2,18,-12
2,22300084,1610612751,BKN,Brooklyn,1627827,Dorian Finney-Smith,Dorian,32.08333333,4,8,0.5,4,7,0.571,0,0,0,1,6,7,3,0,0,2,5,12,-15
3,22300084,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,Spencer,39.71666667,8,17,0.471,6,12,0.5,1,2,0.5,0,3,3,8,0,0,2,4,23,4
4,22300084,1610612751,BKN,Brooklyn,1627732,Ben Simmons,Ben,32.46666667,5,8,0.625,0,0,0,0,0,0,4,6,10,8,2,2,2,3,10,0
5,22300084,1610612751,BKN,Brooklyn,1626220,Royce O'Neale,Royce,34.11666667,4,9,0.444,3,7,0.429,0,0,0,2,8,10,3,1,0,3,4,11,-11
6,22300084,1610612751,BKN,Brooklyn,1629022,Lonnie Walker IV,Lonnie,21.16666667,5,9,0.556,4,6,0.667,0,0,0,0,1,1,2,0,1,2,3,14,8
7,22300084,1610612751,BKN,Brooklyn,1630549,Day'Ron Sharpe,Day'Ron,3.416666667,1,2,0.5,0,0,0,0,0,0,2,2,4,0,1,0,2,1,2,5
8,22300084,1610612751,BKN,Brooklyn,1628372,Dennis Smith Jr.,Dennis,8.4,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,0,-7
14,22300084,1610612742,DAL,Dallas,1627884,Derrick Jones Jr.,Derrick,14.31666667,2,5,0.4,0,2,0,0,0,0,0,1,1,1,0,0,1,1,4,1
15,22300084,1610612742,DAL,Dallas,1629684,Grant Williams,Grant,29.16666667,2,6,0.333,1,4,0.25,0,0,0,0,6,6,0,0,0,2,5,5,-4
